Cd,Cu,Pb,Zn,Alkal,BOD,COD,Fecal_Col,Hardness,NO2,NO3,TDS,TSS,TKN,Total_P,Temp,DO,DO%,pH,Turb,Cond,Level,Flow,WQI
0.0002,0.006,0.003,0.036,72.8,2,20,420,106,0.763,0.01,205,2,0.563,0.041,9.59,12.8,112.4,7.35,9.76,292,,,76.97
0.0002,0.002,0.003,0.011,31,3.85,20,116,40,0.233,0.01,105,16,0.848,0.049,9.88,11.8,104.3,7.43,15.6,124,,,78.33
0.0002,0.003,0.003,0.022,55.3,2,14,300,84,1,0.01,167,6,0.64,0.057,10.79,11.36,102.5,7.4,14,235,2.47,14,77.42
0.0002,0.003,0.003,0.016,45.6,2,14,380,68,0.738,0.01,149,7,0.503,0.048,10.7,11.96,107.7,7.38,15.2,194,1.13,8,76.57
0.0002,0.003,0.003,0.022,44.6,2,18,340,64,0.419,0.01,132,8,0.391,0.042,10.62,11.55,103.9,7.33,24,191,0.92,4.5,76.5
0.0002,0.004,0.003,0.024,44.6,2,25,660,62,0.521,0.01,141,11,1.11,0.051,9.86,10.42,92.1,7.44,30.2,205,2.19,19,72.96
0.0002,0.003,0.003,0.018,39.3,2,29,240,52,0.285,0.01,136,10,0.944,0.049,9.01,12.19,105.5,6.99,26.3,178,1.16,1.7,76.88
0.0002,0.004,0.003,0.029,96,2,22,480,132,0.697,0.01,224,3,0.654,0.075,9.06,12.22,105.9,6.81,8.63,357,,,75.87
0.0002,0.005,0.003,0.021,47.5,2,23,380,70,0.536,0.01,154,10,0.714,0.059,9.14,11.55,100.3,7.17,24.7,206,3.37,26,75.61
0.0002,0.003,0.003,0.048,50.4,2,19,360,70,0.675,0.01,132,8,1.03,0.052,9.7,11.35,99.9,7.24,13.4,200,,,77.54
0.0002,0.002,0.003,0.017,23.3,2,53,104,28,0.116,0.01,75,10,0.703,0.032,9.78,11.61,102.3,7.13,22.2,78,1.69,93,80.38
0.0002,0.002,0.003,0.022,27.2,2,6,232,34,0.4,0.01,96,3,0.441,0.031,9.8,11,96.9,6.7,15.9,104,,,77.71
0.0002,0.002,0.003,0.012,35.9,2,6,124,40,0.358,0.01,109,10,0.427,0.044,9.8,11.01,97.1,6.87,24.2,126,2.42,22,78.56
0.0002,0.002,0.003,0.012,19.4,2,5,140,26,0.367,0.01,81,61,0.381,0.083,9.98,11.1,98.3,6.72,47.7,81,4.13,31,75.16
0.0002,0.002,0.003,0.01,25.2,2,8,72,32,0.233,0.01,89,20,0.56,0.048,10.99,11.03,99.9,6.64,40.3,112,2.64,4.7,76.97
0.0002,0.006,0.003,0.013,49.5,2.35,8,236,60,0.484,0.01,119,6,0.743,0.045,10.66,11.88,106.8,7.03,19.6,162,,,77.53
0.0002,0.004,0.003,0.012,28.1,3.3,23,220,36,0.273,0.01,125,22,0.95,0.081,11.32,11.99,109.5,7.11,48.7,129,,,72.2
0.0002,0.004,0.003,0.011,34.9,2,12,128,58,0.472,0.01,129,6,0.112,0.079,10.59,11.89,106.6,7.15,23.6,146,,,78.45
0.0002,0.006,0.003,0.02,47,4.67,15,20,68,2.76,0.016,173,6,0.943,0.196,13.9,10.39,100.7,6.9,10.5,236,2.2,32,75.3
0.0002,0.006,0.003,0.022,65,3.39,13,16,80,0.2,0.01,151,2,0.389,0.032,13.31,12.4,118.6,7.29,6.15,213,,,84.45
0.0002,0.002,0.003,0.005,43,6.33,12,32,48,0.13,0.01,108,6,0.446,0.033,13.72,11.31,109.1,7.23,8.76,138,,,78.69
0.0002,0.004,0.003,0.01,59,2,5,13,78,0.43,0.01,155,3,0.274,0.033,14.11,10.4,101.2,7.13,5.65,223,2.25,8.6,86.99
0.0002,0.003,0.003,0.005,47,2,5,56,58,0.206,0.01,116,4,0.362,0.03,14.5,11.43,112.1,7.44,6.18,168,1.04,4.2,84.14
0.0002,0.004,0.003,0.012,47,2,5,72,56,0.333,0.01,119,5,0.207,0.024,14.24,11.05,107.9,7.11,10.3,159,0.82,4.1,82.74
0.0002,0.003,0.003,0.013,61,2,5,28,72,0.282,0.01,146,8,0.35,0.033,13.04,9.42,89.6,6.63,10.5,190,1.9,3.4,72.84
0.0002,0.004,0.003,0.064,47,2,18,164,52,0.327,0.015,131,9,0.586,0.045,13.4,10.07,96.4,6.8,19.1,156,1.16,2.1,78.62
0.0002,0.002,0.003,0.011,93,2,8,188,116,0.324,0.01,217,2,0.273,0.074,13.07,10.52,100.1,6.87,5,322,,,80.48
0.0002,0.005,0.003,0.034,55,2,9,1,74,0.262,0.01,145,7,0.46,0.05,13.44,10.28,98.6,7.09,13.2,190,3.13,17,88.48
0.0002,0.004,0.003,0.008,53,2,21,1,72,0.342,0.01,141,4,0.436,0.032,13.66,9.99,96.3,7.12,6.4,201,,,90.16
0.0002,0.002,0.003,0.005,26,2,16,1,34,0.209,0.01,86,3,0.1,0.019,13,10.65,101.1,7.05,14.1,88,2.57,124,88.86
0.0002,0.002,0.003,0.006,34,2,5,1,34,0.17,0.01,91,3,0.165,0.023,13.37,11.14,106.6,7.17,7.27,108,,,90.13
0.0002,0.002,0.003,0.008,42,2,5,120,54,0.148,0.01,104,6,0.465,0.021,13.42,10.54,101,7.27,11,131,2.14,12,81.95
0.0002,0.022,0.003,0.005,24,2,5,17,30,0.24,0.01,46,20,0.131,0.022,13.09,11.25,107,7.27,19.4,87,3.86,19,84.72
0.0002,0.002,0.003,0.005,32,2,5,1,34,0.195,0.01,102,11,0.139,0.02,13.65,10.92,105.2,7.17,24.4,113,2.57,3.6,87.2
0.0002,0.003,0.003,0.011,62,2,24,4,72,0.271,0.01,89,5,0.149,0.013,13.47,11.21,107.6,7.4,12.6,175,,,87.54
0.0002,0.004,0.003,0.003,38,2,27,6,42,0.183,0.01,115,16,0.544,0.05,14.72,11.66,115,7.54,24.8,137,,,84.03
0.0002,0.005,0.003,0.005,42,2,16,1,56,0.052,0.01,131,8,0.502,0.05,14.17,12.02,117.1,7.54,15.4,157,,,87.64
0.0002,0.004,0.003,0.031,41,2,17,204,34.5,9.44,0.039,205,3,0.981,0.138,15.67,14.41,145.1,7.02,4.94,508,2.01,18,42.26
0.0002,0.004,0.003,0.026,82.1,2,30,500,48.5,0.407,0.011,177,1,0.428,0.028,15.19,15.27,152.2,7.45,2.5,458,,,51.31
0.0002,0.002,0.003,0.019,54,2,13,660,29.5,0.148,0.015,120,3,0.853,0.022,15.02,12.61,125.2,7.4,9.05,261,,,75.87
