Cd,Cu,Pb,Zn,Alkal,BOD,COD,Fecal_Col,Hardness,NO2,NO3,TDS,TSS,TKN,Total_P,Temp,DO,DO%,pH,Turb,Cond,Level,Flow,WQI
0.0002,0.002,0.003,0.005,48.4,2,15,180,60,0.05,0.01,105,2,0.47,0.041,12.7,9.9,93.4,8.03,2.54,99,,,81.33
0.0002,0.002,0.003,0.005,67.1,2,16,54,74,0.05,0.01,155,1,0.1,0.1,12.46,8.69,81.5,7.65,1.09,159,,,84.03
0.0002,0.004,0.003,0.033,93.5,2.05,36,96,76,9.02,0.048,445,3,1.98,0.164,18.18,8.24,87.5,7.19,1.81,457,2.11,48,67.37
0.0002,0.005,0.003,0.032,40.7,2,27,420,55.5,11.8,0.072,206,11,2.16,0.16,4.03,14.97,114.4,7.6,6.32,325,1.93,14,59.69
0.0002,0.002,0.003,0.008,68.2,2,8,35,79,0.174,0.049,145,1,0.896,0.08,1.07,14.16,99.9,7.63,2.21,220,,,86.79
0.0002,0.003,0.003,0.011,55,2,25,360,59.5,0.387,0.01,120,1,0.752,0.09,1.32,17.36,123.3,7.5,8.01,183,,,78.03
0.0002,0.002,0.003,0.024,42.9,2,18,8800,45.5,0.32,0.01,80,3,1.42,0.05,0.74,13.91,97.2,7.7,7.39,134,,,69.24
0.0002,0.004,0.003,0.021,60.5,2,23,880,69.5,0.625,0.01,137,14,0.834,0.17,1.13,15.94,112.6,6.82,10.8,201,2.01,2.4,74.61
0.0002,0.009,0.005,0.039,57.2,4.68,39,1000,64.5,0.356,0.054,108,187,1.59,0.1,1.97,16.79,121.4,7.72,48.2,182,0.78,1.4,65.49
0.0002,0.007,0.003,0.027,46.2,2.79,33,580,50,0.23,0.01,84,58,0.96,0.118,2.08,15.78,114.3,7.46,41.7,137,0.63,1.1,70.89
0.0002,0.003,0.003,0.011,51.7,2.15,13,1600,55,0.27,0.01,107,8,0.702,0.05,0.39,13.25,91.7,7.04,14.8,161,1.85,3.3,73.72
0.0002,0.002,0.003,0.005,143,2,8,56,140,0.556,0.01,245,4,0.55,0.04,0.6,14.91,102.2,6.98,3.42,337,1.02,0.49,85.08
0.0002,0.002,0.003,0.015,99,2,14,156,122,0.598,0.01,204,1,0.422,0.05,0.6,14.73,102.6,7.74,3.25,360,,,82.01
0.0002,0.004,0.003,0.005,57.2,2,15,540,66.5,0.299,0.01,134,1,0.684,0.1,0.27,15.8,109,8.02,9.22,211,2.81,7.9,76.34
0.0002,0.002,0.003,0.005,33,2,10,108,31,0.137,0.01,60,1,0.967,0.05,0.51,14.69,101.9,8.25,5.92,100,,,81.63
0.0002,0.002,0.003,0.005,39.6,2,13,52,35,0.151,0.01,82,1,0.528,0.02,0.78,13.53,94.6,7.77,2.93,70,,,85.2
0.0002,0.002,0.003,0.005,44,2,15,188,42.5,0.2,0.01,77,2,0.453,0.04,0.62,14.27,99.3,7.62,7.84,126,1.81,4.6,81.06
0.0002,0.002,0.003,0.005,33,2,7,54,35.5,0.427,0.01,70,10,0.407,0.01,0.44,14.72,101.9,7.56,11,104,3.61,13,83.62
0.0002,0.002,0.003,0.005,41.8,2,5,54,38,0.173,0.01,67,1,0.662,0.01,1.32,13.73,97.4,7.31,5.82,129,2.31,1,85.26
0.0002,0.003,0.003,0.018,74.8,2,9,92,73,0.461,0.01,105,2,0.552,0.05,0.72,14.87,103.8,7.43,5.62,185,,,83.27
0.0002,0.002,0.003,0.005,46.2,2,24,84,43,0.115,0.01,74,5,0.938,0.024,0.77,15.09,105.5,8.81,7.68,90,,,78.91
0.0002,0.002,0.003,0.005,83.6,2,12,12,80,0.239,0.01,136,1,0.706,0.11,0.93,14.91,104.7,7.5,3.13,240,,,88.18
0.0002,0.008,0.006,0.005,99,2,22,420,57.5,5.95,0.036,463,2,2.42,0.11,8.86,13.12,113.4,7.21,3.44,701,2.17,41,68.06
0.0002,0.008,0.003,0.056,67.6,2.48,22,136,91.2,3.38,0.24,378,3,2.86,0.042,7.59,10.87,90.9,7.14,6.6,459,2.09,3.4,75.2
0.0002,0.009,0.003,0.1,65,2,25,2000,129,0.49,0.025,850,3,0.869,0.046,6.68,13.47,110.4,7.02,9.73,44,,,73.51
0.0002,0.002,0.003,0.023,62.4,2,10,400,98.8,0.327,0.017,483,1,0.942,0.016,5.69,11.83,94.5,7.45,8.62,570,,,78.14
0.0002,0.003,0.003,0.013,54.6,2,5,156,66.5,0.283,0.01,226,4,0.904,0.01,5.89,12.22,97.8,7.53,5.96,168,,,82.05
0.0002,0.006,0.003,0.026,70.2,2,21,400,104,0.596,0.023,553,14,0.981,0.05,7.6,12.65,106,7.06,20.9,689,2.1,3.5,75.92
0.0002,0.011,0.003,0.018,62.4,2,16,200,100,0.372,0.011,474,2,0.469,0.01,6.06,12.97,104.5,7.37,6.27,467,0.82,1.8,81.22
0.0002,0.004,0.003,0.034,78,2,17,172,133,0.308,0.01,484,3,0.559,0.042,5.8,13.2,105.7,7.35,6.29,581,0.7,2,81.33
0.0002,0.005,0.003,0.033,72.8,3.33,22,400,112,0.418,0.012,610,7,1.01,0.049,4.58,11.31,87.8,7.18,13.8,809,1.9,4.2,75.04
0.0002,0.003,0.003,0.025,72.8,2,5,52,123,0.14,0.01,972,6,0.554,0.01,5.17,11.35,89.6,6.9,7.27,1,1.05,0.79,83.98
0.0002,0.006,0.003,0.045,88.4,3.13,23,380,142,0.49,0.016,655,1,0.738,0.085,5.61,11.96,95.4,7.08,9.28,820,,,75.88
0.0002,0.006,0.003,0.024,67.6,2.73,5,132,127,0.383,0.011,638,3,0.977,0.018,5.1,12.37,97.3,7.13,8.14,720,2.96,13,80.59
0.0002,0.002,0.003,0.006,52,2,5,41,53.2,0.133,0.01,42,2,0.678,0.01,4.02,12.92,98.6,7.55,7.81,79,,,84.91
0.0002,0.003,0.003,0.011,54.6,2,5,40,51.3,0.124,0.01,132,1,0.383,0.01,6.29,11.8,95.6,7.2,1.96,177,,,86.79
0.0002,0.002,0.003,0.011,62.4,2,5,84,70.3,0.34,0.01,216,2,0.649,0.021,5.78,11.75,94,7.16,6.53,305,1.79,4.2,83.14
0.0002,0.002,0.003,0.011,41.6,2,5,100,38,0.45,0.01,68,4,0.512,0.021,6.68,11.77,96.2,7.4,8.65,78,3.56,11,82.03
0.0002,0.002,0.003,0.01,52,6.43,9,33,53.2,0.144,0.01,159,1,1.08,0.017,6.59,9.88,80.6,7.17,7.3,179,2.41,1.8,78.05
0.0002,0.004,0.003,0.034,78,2,5,160,95,0.601,0.027,344,1,1.36,0.062,5.8,11.64,93.2,7.19,5.96,467,,,80.8
0.0002,0.002,0.003,0.008,54.6,2,8,128,87.4,0.12,0.01,363,21,0.821,0.026,6.55,14,114.2,7.62,4.33,452,,,82.42
0.0002,0.003,0.003,0.01,83.2,2,5,60,100,0.108,0.01,316,1,0.784,0.087,6.41,15.62,127,8.24,3.75,398,,,81.4
0.0002,0.009,0.003,0.111,85.8,3.34,29,52,74.1,6.09,0.053,558,126,2.39,0.32,11.29,9.85,90.1,7.06,5.47,663,,,72.28
0.0002,0.002,0.003,0.035,47.5,2,14,540,76,5.77,0.027,241,1,1.45,0.099,8.08,11.07,93.8,7.14,3.32,400,1.9,14,67.19
0.0002,0.002,0.003,0.019,85.5,2,11,21,134,0.05,0.01,256,4,0.739,0.089,6.08,15,120.9,7.7,2.77,434,,,85.32
0.0003,0.003,0.003,0.265,68.4,2,9,104,112,0.335,0.022,187,1,0.958,0.059,6.5,12.56,102.2,7.78,4.99,330,,,81.76
0.0002,0.005,0.003,0.01,49.4,2,8,148,66.5,0.126,0.01,113,3,0.429,0.016,5.82,13.35,106.8,7.67,8.02,204,,,81.19
0.0003,0.006,0.003,0.459,64.6,2,10,88,98.8,0.326,0.021,197,3,1.33,0.09,7.52,13.39,111.8,7.25,6.08,356,2.03,3.2,83.25
0.0002,0.002,0.003,0.02,62.7,2,9,26,108,0.104,0.013,189,1,0.834,0.034,7.32,13.84,115,7.76,3.33,279,0.79,1.5,85.51
0.0002,0.004,0.003,0.017,76,5.29,20,31000,85.5,0.167,0.01,166,1,1.51,0.121,7.38,13.22,110.1,7.5,8.64,310,0.65,1.4,61.29
0.0002,0.004,0.003,0.017,100,2.17,15,6600,89.3,0.12,0.01,201,1,1.59,0.075,5.76,11.85,94.7,7.19,6.78,358,1.88,4.4,70.56
0.0002,0.008,0.003,0.012,47.5,2,16,100,83.6,0.067,0.01,207,6,0.795,0.049,5.05,12.12,95.1,7.21,7.46,394,1.05,0.68,82.33
0.0002,0.002,0.003,0.016,81.7,2,12,92,133,0.331,0.01,261,1,0.378,0.099,5.26,13,102.6,7.26,3.42,424,,,82.92
0.0002,0.002,0.003,0.013,81.7,2,13,13,121,0.274,0.01,223,1,0.752,0.103,5.36,13.31,105.3,7.32,5.27,351,2.83,8.5,86.18
0.0002,0.002,0.003,0.006,57,2,9,30,57,0.149,0.01,65,2,0.629,0.017,5.27,13.16,103.8,7.67,4.6,129,,,85.63
0.0002,0.002,0.003,0.008,38,2,12,27,60.8,0.21,0.01,75,24,0.147,0.075,5.58,12.57,100,7.49,2.14,136,,,86.91
0.0002,0.002,0.003,0.01,51.3,2,6,92,74.1,0.266,0.01,120,33,0.438,0.029,5.59,12.21,97.1,7.35,8.56,216,1.76,4.4,83.12
0.0002,0.002,0.003,0.02,38,2,5,120,39.9,0.432,0.01,67,22,0.388,0.021,5.67,12.25,97.6,7.41,9.07,105,3.5,9.7,82.05
0.0002,0.002,0.003,0.006,38,2.27,5,220,38,0.198,0.01,91,3,0.423,0.023,6.15,13.04,105.2,7.23,8.06,170,2.32,2,80.23
0.0002,0.002,0.003,0.013,79.8,2,6,42,98.8,0.533,0.01,150,12,0.803,0.047,5.76,13.15,105.1,7.52,3.53,254,,,84.95
0.0002,0.002,0.003,0.008,43.7,2,9,34,72.2,0.099,0.01,150,1,0.367,0.066,6.69,13.74,112.4,7.7,4.89,308,,,84.28
0.0002,0.002,0.003,0.009,53.2,2,8,116,85.5,0.198,0.01,160,1,0.343,0.145,5.84,14.09,112.8,7.64,4.29,293,,,80.51
0.0002,0.003,0.003,0.058,70.3,3.04,36,26,81.7,8.42,0.036,463,4,2.42,0.232,11.89,9.26,85.9,7.27,4.59,768,2.37,51,67.37
0.0002,0.004,0.003,0.024,45,3.09,23,1200,82,2.49,0.048,183,7,1.68,0.119,10.3,9.77,87.3,7.16,9.3,279,2.27,46,69.32
0.0002,0.006,0.004,0.023,38,3.34,29,2600,62,0.192,0.033,129,1,1.13,0.06,10.46,11.68,104.7,7.47,9.08,196,,,72.59
0.0002,0.004,0.003,0.021,38,5.2,23,780,62,0.655,0.018,129,5,1.03,0.04,9.9,11.17,98.8,7.41,9.06,192,,,72.47
0.0002,0.003,0.003,0.006,29.4,5.3,24,124,44,0.175,0.016,101,6,0.774,0.034,10.53,12.44,111.6,7.47,8.84,156,,,77.21
0.0002,0.005,0.003,0.013,33.2,4.15,25,1600,70,0.561,0.022,139,4,0.291,0.024,11.26,11.4,104,7.35,9.46,209,2.32,8.8,72.4
0.0002,0.005,0.003,0.019,29.4,4.55,29,2400,50,0.586,0.023,107,1,1.03,0.052,11.28,11.83,108,7.41,9.22,166,0.96,3.9,70.38
0.0002,0.004,0.003,0.018,28.5,3.05,17,400,55,0.374,0.017,98,3,0.954,0.031,10.81,12.07,109,7.4,13.5,153,0.84,4.5,75.73
0.0002,0.004,0.003,0.011,45.6,2,18,720,72,0.374,0.014,143,8,1.05,0.03,10.12,10.9,96.9,6.48,13.7,214,2.19,14,73.75
0.0002,0.004,0.003,0.008,30.4,2,24,580,52,0.254,0.017,136,12,1.11,0.039,10.02,11.19,99.2,6.89,21.4,196,1.17,2.6,75.09
0.0002,0.007,0.011,0.052,51.3,2.5,22,2400,85,0.693,0.024,166,1,0.997,0.13,9.56,11.57,101.5,6.96,14.4,259,,,72.31
0.0002,0.004,0.006,0.026,39,2,22,1400,74,0.175,0.015,154,12,0.773,0.054,9.71,7.73,68.1,7.18,15.7,232,3.34,41,71.54
0.0002,0.002,0.003,0.02,21.8,2,19,360,38,0.05,0.01,66,15,0.847,0.024,10.24,11.79,105.1,7.84,15.9,87,,,77.32
0.0002,0.002,0.003,0.015,23.8,2,15,320,40,0.318,0.012,88,1,0.599,0.029,9.62,12.93,113.5,7.76,7.38,115,,,78.43
0.0002,0.004,0.003,0.008,33.2,2,9,232,55,0.422,0.013,112,7,0.553,0.026,9.86,11.6,102.4,7.23,13.3,165,2.18,16,79.48
0.0002,0.002,0.003,0.021,20.9,2,7,128,32,0.374,0.01,73,21,0.522,0.026,10.16,12.22,108.7,7.39,24.8,90,3.84,20,79.06
0.0002,0.002,0.004,0.011,24.7,3.8,17,140,40,0.32,0.017,90,8,0.819,0.026,10.45,11.46,102.6,7.04,22.8,130,2.51,7.9,77.29
0.0002,0.007,0.003,0.02,36.1,3.7,15,480,57,0.566,0.02,107,7,0.565,0.046,10.02,12.27,108.8,7.04,14.6,153,,,74.03
0.0002,0.003,0.003,0.014,28.5,3.95,22,72,42,0.261,0.01,113,9,0.906,0.055,11.33,12.46,113.9,7.11,18.2,161,,,78.7
0.0002,0.006,0.005,0.021,40.8,3.35,21,156,73,0.496,0.01,149,6,0.526,0.052,11.05,13.23,120.2,7.16,9.47,215,,,78.32
0.0002,0.006,0.004,0.039,49.4,6.6,38,188,79,0.885,0.072,297,16,4.82,0.129,12.87,10.74,101.7,7.23,20.6,464,3.02,176,71.12
0.0002,0.002,0.003,0.026,50,2.23,12,120,78,10.1,0.072,245,35,1.22,0.084,18.33,10.1,107.5,7.15,6.79,323,2.07,25,65.74
0.0002,0.002,0.003,0.011,100,2,5,320,134,0.183,0.01,262,4,0.533,0.039,19.51,14.09,153.6,7.68,2.84,372,,,52.08
0.0002,0.002,0.003,0.011,65,2,6,140,81,0.216,0.01,183,13,0.621,0.044,18.75,10.47,112.3,7.67,6.55,252,,,81.21
0.0002,0.005,0.003,0.006,41,2,9,176,56,0.499,0.01,145,12,0.841,0.029,18.55,11.15,119.2,7.41,10.2,153,,,79.98
0.0002,0.002,0.003,0.009,62,2,5,360,95,0.357,0.01,233,5,0.184,0.046,19.22,12.4,134.3,7.25,4.27,275,2.19,6,77.78
0.0002,0.002,0.005,0.009,60,2,15,380,81,0.252,0.01,189,9,0.369,0.049,19.47,13.2,143.7,7.27,4.27,248,0.87,3.2,51.53
0.0002,0.002,0.003,0.009,60,2,7,80,78,0.264,0.01,175,6,0.626,0.032,18.78,13.14,141.1,7.3,8.63,227,0.73,2.8,53.92
0.0002,0.002,0.003,0.012,50,2,15,320,66,0.198,0.01,167,9,1.04,0.062,19.32,12.39,134.5,6.99,12.1,205,1.97,6.4,76.37
0.0002,0.002,0.003,0.008,55,2,18,740,68,0.143,0.01,177,14,0.817,0.068,18.02,10.29,108.8,7.08,8.38,212,1.06,1.2,76.03
0.0002,0.002,0.003,0.013,100,2,6,1000,148,0.2,0.01,302,6,0.464,0.288,17.57,1.81,19,7.21,7.68,426,,,56.66
0.0002,0.002,0.003,0.009,70,2,5,176,91,0.203,0.01,204,6,0.435,0.053,19.35,11.07,120.3,7.28,6.77,269,2.99,19,80.67
0.0002,0.002,0.003,0.005,28,2,13,76,33,0.235,0.01,80,11,1.4,0.024,17.97,7.74,81.7,7.52,14.9,89,,,81.21
0.0002,0.002,0.003,0.006,33,2,10,260,40,0.304,0.01,93,5,0.743,0.052,17.3,6.45,67.2,7.33,12.2,109,,,76.37
0.0002,0.002,0.003,0.008,42,2,16,360,48,0.435,0.01,106,29,0.597,0.036,18.07,6.63,70.1,7.29,18.1,131,1.95,11,75.49
0.0002,0.002,0.003,0.006,27,2,5,280,36,0.372,0.01,83,18,0.453,0.016,17.58,7.07,74,7.37,12.5,87,3.65,14,77.71
0.0002,0.002,0.003,0.007,31,2,5,48,33,0.254,0.01,91,10,0.588,0.025,17.62,6.61,69.3,7.26,12.1,104,2.33,4.2,81.35
0.0002,0.002,0.003,0.011,60,2,5,1800,68,0.275,0.01,152,65,0.639,0.036,17.8,6.01,63.2,7.35,20.5,164,,,71.23
0.0002,0.002,0.003,0.01,31,2,17,168,43,0.49,0.01,130,13,0.572,0.052,18.47,5.57,59.5,7.58,10.6,132,,,75.39
0.0002,0.005,0.003,0.006,50,2,10,72,62,0.304,0.01,164,8,1.07,0.089,18.02,4.01,42.4,7.6,7.07,182,,,73.16
0.0002,0.005,0.004,0.051,52,14.2,45,59,71,4.41,0.47,440,14,8.04,0.59,19.97,5.85,64.4,7.34,8.67,652,2.4,83,54.36
0.0002,0.008,0.003,0.04,34,2.83,23,120,47,5.82,0.033,136,9,1.22,0.284,17.63,7.65,80.3,7.32,1.33,141,2.13,29,67.7
0.0002,0.006,0.003,0.033,40,2,19,120,42,0.346,0.01,100,3,0.818,0.034,16.83,9.3,95.9,7.47,8.23,96,,,81.61
0.0002,0.003,0.003,0.028,38,2.44,16,1000,44,0.29,0.01,96,30,0.888,0.067,16.7,7.68,79,7.4,10.5,94,,,73.51
0.0002,0.002,0.003,0.026,41,2,21,1200,36,0.092,0.01,102,6,0.712,0.011,16.97,8.66,89.6,7.37,12.3,101,,,74.77
0.0002,0.006,0.003,0.03,39,2.74,14,1800,45,0.317,0.01,103,8,1.05,0.097,17.73,7.6,79.8,7.32,10.1,100,2.09,4.2,71.96
0.0002,0.006,0.003,0.024,32,2,30,1800,42,0.271,0.01,84,6,0.137,0.086,17.61,8.4,88,7.39,10.3,83,0.88,3.3,73.4
0.0002,0.006,0.005,0.046,30,2.34,24,3000,38,0.205,0.01,89,12,0.951,0.029,17.24,8.47,88.1,7.4,23.5,78,0.8,4.1,70.91
0.0002,0.004,0.004,0.033,31,2.24,13,7000,38,0.309,0.01,84,14,0.951,0.042,16.45,7.74,79.2,7.05,20,80,2.15,13,67.94
0.0002,0.005,0.004,0.027,43,3.58,32,4000,45,0.223,0.01,118,60,1.3,0.141,16.3,8.08,82.4,6.9,23.5,114,1.1,1.8,67.73
0.0002,0.006,0.005,0.05,57,3.53,20,3200,72,0.36,0.01,149,47,0.802,0.21,15.7,8.04,81,7.08,9.32,157,,,68.92
0.0002,0.003,0.003,0.034,38,2,18,1060,43,0.318,0.01,101,11,0.49,0.065,16.41,8.52,87,7.33,18.3,92,2.67,121,73.31
0.0002,0.002,0.003,0.083,30,2,10,200,37,0.163,0.01,84,1,0.476,0.01,16.93,8.88,91.8,7.54,4.84,88,,,81.18
0.0002,0.002,0.003,0.029,34,2,14,780,34,0.137,0.01,86,1,0.824,0.029,15.69,8.65,87,7.15,7.47,82,,,76.16
0.0002,0.003,0.003,0.033,46,2,22,3000,38,0.12,0.01,95,10,0.802,0.031,16.22,8.47,86.3,7.06,18,96,1.92,9.8,71.93
0.0002,0.002,0.004,0.032,26,2,10,800,30,0.264,0.01,79,55,0.532,0.093,15.89,9.27,93.7,7.07,65.1,73,3.84,20,68.72
0.0002,0.003,0.003,0.02,25,2,12,480,26,0.133,0.01,76,21,0.652,0.03,16.74,8.92,91.8,6.87,33.2,74,3.46,31,73.83
0.0002,0.004,0.003,0.026,43,2,22,1,48,0.48,0.01,99,10,0.771,0.046,16.03,8.93,90.5,7,16.2,105,,,87.37
0.0002,0.002,0.003,0.034,39,3.08,24,600,39,0.157,0.01,106,14,1.38,0.085,18.38,8.54,90.9,6.97,16.7,114,,,73.48
0.0002,0.004,0.003,0.026,54,2,31,300,60,0.351,0.01,140,7,1.4,0.129,16.27,8.93,91.1,6.92,14.5,151,,,76.46
0.0002,0.004,0.003,0.076,46,2.74,28,1200,46,2.89,0.01,248,15,1.34,0.298,18.73,8.18,87.8,6.98,20.6,311,2.71,127,65.15
0.0002,0.007,0.003,0.027,42,2,26,1200,66,8.23,0.048,239,8,1.4,0.245,20.08,6.25,71.7,7.12,7.48,351,1.9,16,59.06
0.0002,0.004,0.003,0.007,64,2,19,900,88,0.571,0.01,184,4,0.573,0.067,22.38,9.87,113.8,7.64,3.27,241,,,75.59
0.0002,0.005,0.003,0.008,58,2,16,560,70,0.362,0.01,152,8,0.677,0.097,21.99,5.62,64.3,7.48,14.1,214,,,72.21
0.0002,0.005,0.003,0.005,60,2,22,800,60,0.195,0.019,126,10,0.768,0.041,21.79,5.8,66.1,7.31,13,168,,,72.91
0.0002,0.002,0.003,0.005,62,2,20,1000,80,0.525,0.01,170,7,0.676,0.103,23.54,6.98,82.2,7.34,6.73,245,1.89,2.3,73.99
0.0002,0.002,0.003,0.005,46,2,21,520,58,0.266,0.01,131,11,0.884,0.105,22.95,7.13,83.1,7.38,9.68,173,0.72,0.85,75.89
0.0002,0.01,0.003,0.005,36,2,19,660,45,0.219,0.01,104,12,0.611,0.05,23.48,7.17,84.3,7.35,21.6,131,0.55,0.62,74.97
0.0002,0.006,0.003,0.005,42,2,25,1600,52,0.438,0.01,119,11,0.727,0.065,21.03,6.1,68.4,6.98,16.9,155,1.77,2.6,70.74
0.0002,0.002,0.003,0.005,52,2,20,1000,58,0.416,0.01,142,10,0.726,0.06,19.47,6.62,72,6.95,25.5,180,0.98,0.34,70.45
0.0002,0.002,0.003,0.012,90,2,21,1600,123,0.297,0.01,234,6,0.596,0.275,21.32,7.82,88.3,7.23,6.33,352,,,71.39
0.0002,0.002,0.003,0.007,52,2,18,300,64,0.283,0.014,115,5,0.64,0.068,21.23,7.33,82.7,7.57,8.81,184,2.71,5.3,77.92
0.0002,0.002,0.003,0.005,40,2,22,56,44,0.102,0.01,97,4,0.437,0.013,21.35,7.54,85.2,7.42,2.93,117,,,85.18
0.0002,0.002,0.003,0.005,44,2,14,1060,40,0.241,0.01,113,28,0.57,0.083,18.78,5.5,59,7.24,11,103,,,70.4
0.0002,0.002,0.003,0.005,51,2,18,360,50,0.317,0.01,117,31,0.788,0.034,20.65,8.2,91.4,7.31,9.42,128,1.52,2.1,78.81
0.0002,0.002,0.003,0.005,33,2,9,176,36,0.311,0.01,95,10,0.467,0.015,18.87,8.99,96.6,7.52,9.52,94,3.28,5.1,80.85
0.0002,0.002,0.003,0.005,51,2,7,480,48,0.229,0.01,114,5,0.484,0.022,19.36,8.73,94.8,7.42,8.71,120,2.02,1.4,77.8
0.0002,0.005,0.003,0.006,61,2,14,720,66,0.433,0.01,133,11,0.508,0.052,21.26,8.17,92.1,7.48,7.22,152,,,76.11
0.0002,0.002,0.003,0.005,51,2,21,80,51,0.264,0.01,126,5,0.605,0.071,21.54,8.11,92,7.69,4.74,147,,,82.47
0.0002,0.002,0.003,0.005,80,2,15,108,89,0.299,0.01,193,4,0.501,0.069,20.42,7.76,86.1,7.63,3.68,258,,,81.66
0.0003,0.011,0.003,0.23,79,2,33,540,60,8.95,0.03,485,9,2.17,0.2,23.31,7.06,83,6.77,4.19,632,2.1,47,61.35
0.0002,0.005,0.003,0.022,48.3,4.15,22,26000,63,3.08,0.051,182,9,1.49,0.19,25.58,4.22,51.6,7.04,14.8,240,11,1.87,53.46
0.0002,0.008,0.003,0.016,59.8,2.54,25,5200,68,0.259,0.028,147,6,0.482,0.081,25.16,7.23,87.8,7.51,8.24,194,,,69.57
0.0002,0.002,0.003,0.012,98.9,2,9,41,96,0.054,0.01,197,3,0.348,0.049,25.62,5.51,67.5,7.4,6.4,298,,,82.05
0.0002,0.002,0.003,0.01,77.1,2,11,88,65,0.248,0.013,134,4,0.674,0.036,25.8,7.37,90.6,7.59,7.48,185,,,82.17
0.0002,0.002,0.003,0.007,89.7,2,10,320,89,0.05,0.01,192,5,0.297,0.058,27.49,7.25,91.8,7.51,3.83,192,1.93,2.2,79.43
0.0002,0.004,0.003,0.013,92,2,9,232,97,0.05,0.01,191,8,0.39,0.042,26.48,8.14,101.2,7.82,4.33,279,0.75,0.65,80.65
0.0002,0.002,0.003,0.011,82.8,2,10,104,79,0.05,0.01,156,4,0.185,0.011,26.42,11.18,138.9,8.13,14,22,0.59,0.7,78.18
0.0002,0.004,0.003,0.01,94.3,2,6,132,86,0.05,0.01,172,71,0.381,0.037,24.17,6.99,83.3,6.39,5.77,255,1.59,2.1,80.95
0.0002,0.002,0.003,0.009,92,2,8,180,80,0.125,0.01,167,20,0.464,0.042,23.41,5.81,68.3,7.01,5.91,212,0.94,0.17,79.09
0.0002,0.004,0.003,0.017,133,2.91,16,940,152,0.09,0.01,265,64,0.541,0.34,24.62,6.83,82.2,7.18,4,433,,,71.48
0.0002,0.005,0.003,0.014,50.6,2.41,25,6800,57,0.268,0.024,136,23,0.74,0.134,24.69,5.66,68.1,7.42,26.3,162,3,2.62,64.6
0.0002,0.002,0.003,0.006,44.9,2,10,60,39,0.099,0.01,91,3,0.336,0.013,24.86,7.9,95.3,7.31,3.06,111,,,85.7
0.0002,0.002,0.003,0.007,48.3,2,7,280,40,0.174,0.01,102,4,0.025,0.059,23.51,5.74,68.1,7.11,5.01,112,,,77.61
0.0003,0.002,0.003,0.007,67.9,2,6,172,59,0.151,0.01,124,6,0.217,0.021,24.48,8.44,89.2,7.2,6.95,110,1.45,2.6,81.32
0.0002,0.002,0.003,0.007,39.1,2,9,100,41,0.255,0.01,100,3,0.1,0.011,24.35,8.92,106.7,7.39,4.69,96,3.9,3.12,83.14
0.0002,0.002,0.003,0.006,59.8,2,5,300,47,0.134,0.01,108,5,0.145,0.014,23.87,8.48,100.6,7.21,5.91,131,1.94,1.1,80.72
0.0002,0.002,0.003,0.025,89.7,2,8,580,78,0.244,0.01,154,4,0.317,0.078,24.9,9.33,112.7,7.32,6.09,199,,,76.92
0.0002,0.002,0.003,0.006,51.8,2,12,112,48,0.32,0.01,126,2,0.289,0.067,25.77,8.95,109.9,7.46,2.71,166,,,82.62
0.0002,0.002,0.003,0.008,78.2,2,15,100,69,0.176,0.01,173,3,0.252,0.117,25.63,9.38,115,7.51,3.78,253,,,81.57
0.0002,0.002,0.003,0.053,75.9,2.74,23,3800,58,3.59,0.037,365,14,0.886,0.212,26.86,6.72,84.3,6.58,14.6,533,2.09,54,62.44
0.0002,0.008,0.003,0.027,32,2,15,3600,56,10.9,0.03,236,6,1.35,0.219,23.5,5.85,68.9,6.92,3.75,269,1.82,8,54.7
0.0002,0.006,0.003,0.011,37,2,13,220,38,0.157,0.01,64,6,0.571,0.088,21.52,7.39,83.8,7.47,2.35,89,,,80.7
0.0002,0.006,0.003,0.013,46,2,15,360,57,0.286,0.01,131,17,0.74,0.126,23.42,4.68,55,7.17,44,141,,,67.32
0.0002,0.003,0.003,0.005,36,2,21,64,40,0.052,0.01,77,11,0.848,0.018,24.55,6.18,74.1,7.26,14.3,82,,,81.42
0.0002,0.004,0.003,0.005,49,2,19,1120,57,0.348,0.021,117,15,1.12,0.142,24.97,5.98,72.3,7.15,7.28,147,1.87,1.7,71.66
0.0002,0.004,0.003,0.005,37,2,20,420,35,0.194,0.011,70,7,0.4,0.07,23.1,6.2,72.4,7.27,5.81,83,0.73,0.47,76.76
0.0002,0.003,0.003,0.005,34,2,20,640,39,0.282,0.01,76,8,0.634,0.02,24.07,7.53,89.6,7.45,7.39,87,0.55,0.57,76.83
0.0002,0.004,0.003,0.005,39,2,25,260,36,0.245,0.01,74,7,0.622,0.039,21.87,5.98,68.3,7.27,10.8,85,1.68,3.3,77.07
0.0002,0.006,0.003,0.007,39,2.56,28,540,37,0.179,0.01,88,25,0.83,0.063,21.14,6.42,72.3,7.04,48.4,93,0.96,,69.21
0.0002,0.005,0.003,0.008,68,2.36,15,720,84,0.224,0.01,161,3,0.491,0.428,22.22,7.23,83.1,7.21,5.33,193,,,69.43
0.0002,0.003,0.003,0.005,35,2,18,340,41,0.197,0.01,82,5,0.358,0.044,21.79,6.91,78.7,7.38,8.33,95,2.66,3.6,77.91
0.0002,0.002,0.003,0.005,46,2,18,80,41,0.05,0.01,86,3,0.584,0.01,22.81,7.34,85.3,7.81,2.7,102,,,83.72
